,PRODUCTCODE,pdt_inclexcl_ENG_CONTENT,pdt_product_detail_PRODUCTDESCRIPTION,pdt_inclexcl_ENG_CONTENT_lang
4717,162634P1,mobile phone charger,"Upon arrival, our bilingual driver will meet you at the arrivals gate of Charles de Gaulle Airport (CDG) with a name. (Do not worry about flight delays! We use flight tracking and we will wait for you even if you are delayed for several hours!) Once you have met the driver, he will help you carry the luggage and guide you to the vehicle. Our vehicles are air-conditioned, non-smoking and spacious",fr
4719,162649P2,Excludes alcohol (available separately) Excludes Soda (available separately),"I’m a retired NYPD Detective born and raised in Little Italy. I’ve consulted for TV and major film productions on both crime and law enforcement. Together we will visit notorious Mafia and Crime locations in NYC (Manhattan). I enjoy sharing true crime stories of my police career and life experiences while growing up and working these streets coupled with amazing food from my neighborhood. We will visit notorious gangland locations while tasting some of the best local joints in the city. I’ve hosted over 7,000 guests, have been featured in multiple news outlets and have 1,500 five star reviews on Airbnb and am consistently the highest booked experience globally. I donate the proceeds to local organizations.",ca
4722,162649P5,Multi- Language Audio Guide,"Get SOLD OUT Pedestal tickets for PRIME 12:30 PM Reserved Access. — Our Premium Time Slot Reserved Access Statue of Liberty Tickets feature a professional concierge that will pick up your tickets so you won’t have to wait in the long lines. You will receive Reserved Line Access to the Statue of Liberty Pedestal, and Pedestal Museum including Ranger guided Liberty and Ellis Island tours and audio tours. Explore the immigration museum to hear the stories about the millions people that arrived in New York in search of a better life.",it
4724,162650P1,Smoking,experienced driver with knowledgeexperienced driver with great experience. Good knowledge of the city and knowledge of several foreign languages of several foreign languages,lt
4727,162650P4,smoking,"Great car park. Professional drivers with knowledge of several foreign languages in a good mood will

take you to your destination!",lt
4730,162655P3,Headsets ,Departing From Kearny NJ seeing all the sites in NJ and first stop Statue of Liberty and Skyline of NYC,nl
4732,162747P4,Tour Guide; Museum entrance is not included.,"I'm a 9/11 survivor, a member of the 9/11 Victims Compensation Fund. You will have my own experience of that day and the time afterward. I worked at what was then known as Ground Zero. A tour guide, I organized tour guides to give free walking tours to visiting first responders. 
You will be taken to places most guides don't know about: places where you can still see lingering damage from September 11, 2001.",fr
4750,163394P2,"Free fall suit (wetsuit, helmet, glasses, earplugs, and VR helmet) ...","iFLY has made the dream of stealing a reality. iFLY PARIS welcomes general public, companies and confirmed sportsmen for indoor free fall in the largest glass tube in the world.

360 ° VR experience:

Combine the experience of an indoor fall with that of an airplane jump, immersed in our VR helmet.

A breathtaking 360 ° view, above Dubai, Hawaii, California, the Swiss Alps during a jump with sports paratroopers.

From the age of 8.

Come 1 hour before your flight for your check-in.",nl
4781,164173P1,Tabla de paddle / Paddle board; Neopreno / wetsuit ,"Actividad única, amanecer desde el agua en la Barceloneta.

Ésta es una actividad única ya que somos pioneros en ofrecerla en aguas de Barcelona, nosotros le proporcionamos todo el material y el equipamiento para realizar esta experiencia. 

Special activity, sunrise from the Barceloneta beach

This is a unique activity and we are professionals doing this experience in Barcelona, we provide you all the staff for that experience.
",nl
4782,164215P1,Professional guide,"An old-fashioned carriage tour through Central Park is a unique way to enjoy NYC for first-time visitors, frequent travelers, and even local residents.

Whether you are sightseeing, celebrating a special occasion, or treating your family to a fun activity in the city, a carriage ride through one of America's most iconic public parks is sure to create lasting memories for you and your loved ones. 

Central Park Carriages is a family run business operating since 1979. We are very excited to share our love of New York and Central Park with you! ",it
4805,165390P1,Guide,"Join us on a captivating walk through the Catalan capital and world-class city of Barcelona, where we take an UNBIASED look at both sides of the Spanish political coin: to allow an avenue for Catalan independence versus the preservation of Spanish unity. When demonstrators shout ´Visca Catalunya!´ (Long Live Catalonia!), what lies behind those passionate cries? And how widespread is their support, remembering that Spain is both a former world empire, AND a fractured nation of 44 million people speaking 4 different languages. We’ll consider Catalonia’s annexation by Spain and France in the War of 1714, and its consistent cultural suppression since, most notoriously and recently under the infamous Fascist Spanish dictator, Francisco Franco. We investigate what possible resolutions can emerge from this standoff. Trust our guide to take you on a riveting journey - not only political in scope, but scenic and aesthetic in practice, as we enjoy a city area not saturated by common tourism.",es
4840,16637P13,Gratuities,"This tour provides the perfect opportunity to escape the city and see another side of Catalonia. Your guide will meet you in Barcelona city center and take you for the short coach journey, down the coast to Sitges. On arrival, you'll be provided with all the equipment you need, before setting out on the water for an afternoon of kayaking and snorkeling. You'll be accompanied by a qualified guide throughout and shown the best spots the coastline has to offer. The tour also includes a packed lunch and a complimentary beer or sangria on your return to the city. ",af
4850,16637P8,Welcome cava; 4 cocktails; Tapas; Professional mixologist,"Our fabulous cocktail masterclass will teach you four delicious cocktails, with recipes from our master mixologist that you can take home to impress your friends and family! You will meet in our city centre bar, where your professional barman will be waiting to make some cocktails to get those creative juices flowing. Over the experience our mixologist will teach you a variety of four cocktails, and to top the experience off you will also have be given tasty local tapas.",ca
4857,166458P6,ONEWHEEL material,"ONEWHEEL is something unique that no one else offers in Barcelona. It is not usual to find this type of tours anywhere, and it will be a tourist attraction that will allow you to visit several places in such a short time.",ro
4884,167726P1,Self-guided,"The Ruta del Pincho is the only route in Barcelona that takes you to know the best places of pinchos Carrer de Blai. The skewer is a northern tradition that we have made ours and we have taken it to a whole gastronomic offer within reach of a skewer. The tuta can be done by your gutter without the need of a guide. The reference points are already included in the meeting points of this activity.

There is no guide, you just have to follow the 6 points marked by TripAdvisor as a meeting point and you can visit the 6 most representative places of La Ruta Del Pincho. Additionally, only on Thursdays you can enjoy a special promotion that is a skewer plus a zurito for only € 2.

To enjoy!",af
4889,167876P5,Tickets ,"Your private driver will take care of you at the place of your choice. And bring you back.
You are alone, in a luxury vehicle (not in a bus.)
The driver will take you to the castle and give you an audio guide.
",sv
4947,168337P2,Dali Figueres Museum Tickets,"Worldwide known, Salvador Dalí, representative of surrealist painting, we can see in the museum of Figueres part of his works and works. In addition to understanding better what was one of his most inspiring scenarios, in this enclave of the Costa Brava as protagonist Cadaqués - Portlligat.
After the visit to the museum, we will go to Cadaqués, where we can travel the same streets as Dalí, and eat in one of the most spectacular places between the lighthouse of Cap de Creus and the waters of the Mediterranean Sea, at its easternmost point of the peninsula.
This visit will be unforgettable both for its artistic quality and for the magical surroundings of Alt Empordá.",de
4951,168387P2,Driver Animator,"A glass in your hand and pedals on your feet!

Get on board the Beer Bike of Demi Tour Paris!
With 3 drinks included per person,
This new unusual bike welcomes you for an unusual activity.
You are in a rolling bar for 10 people, including 6 cranks and 4 passengers!

You pedal, chat, laugh and drink while enjoying the breathtaking views of the capital.
Our team takes care of the rest and is there to make you spend an unforgettable moment!

Visit Paris differently, passing by the Arc de Triomphe, the Champs-Elysées, the Trocadero, the Eiffel Tower and the gardens of Avenue Foch.

An original activity, fun and green, to discover with friends, family or colleagues.",it
4952,168387P3,Big Bike 50min-1H; Driver Animator,"2 drinks per person

Hop aboard the Beer Bike, an osmosis between a rolling bar and the ultimate festive bike.

Imagine!
You walk in the most beautiful Parisian streets at the foot of the greatest monuments with the Arc de Triomphe and the Champs Elysees including a drink in hand and pedals to the feet!

Visit Paris from a new angle in a fun and original way with family or friends.",de
5019,169332P1,Facial,"This revitalizing facial is designed to re-balance and rejuvenate the skin. Skinova Medspa's experienced skin care specialists will provide a 50-minute facial which will be customized for individual client's needs. Facial Includes cleansing, steaming, exfoliation, extractions in the T Zone, facial massage, revitalizing mask, hydration, and toning. Skin will be left cleansed, rejuvenated and toned. 

Full comprehensive services are also available for upgrades; Such as Microdermabrasion, Deep Pore Cleansing, Chemical Peels, Oxygen Facial, LED Facial, Microneedling, Dermaplaning, and many more!

Skinova Medspa is a premier skin care and wellness center focusing on some of the latest innovative treatments and technologies.",es
5039,16949P21,Guide,"Booking of private Minivan with driver, for all your trips from Charles de Gaulle and Orly airport to Paris, hotel or apartment. The chauffeur will welcome you in your terminal arrival with a sign at your name, company logo or other distinctive sign.He will contact you by text for advise you of his arrival. The drivers speak English are professional with a license delivered by the transports ministry. 

This is a premium service, all vehicles are equipped with air conditioning, WiFi and refreshments. Your transfer will be carried in : 
Mercedes V-class (or similar) up to 7 passengers.

Contact us on info@citycabparis.com",es
5050,169999P1,Yoga Mat; Propinas,"Let´s start the day with some one hour power yoga at Barcelona Beach (for all levels) and share some fruits after practice! You will practice on a concrete platform so you won´t get sandy, and you will have the best ocean view!
Yoga mats provided.",tl
5053,170145P1,Live tour guide; Gratuites,"When we think of New York our minds inevitably leads us to view one of the most important of the Big Apple: the Brooklyn Bridge symbols.

Since 1883 this imposing building (which was long the world's longest suspension bridge) connects the island of Manhattan to Brooklyn and thanks to this tour you will have the chance to relive the history of New York destreggiandoti between Dumbo and Seaport up to an unforgettable walk on the deck at sunset.

The tour consists of two parts, the first Urban Explorer will take you in the heart of Brooklyn, where you will have the opportunity to visit the Dumbo dominated district, in the background, from the skyscrapers of Wall Street and enjoy right in the Downtown profile.

As we approach the sunset you will move toward the bridge where you will start a wonderful walk to Seaport Village (the historic heart of Manhattan) surrounded by unforgettable play of light and color.

The tour ends at Seaport Village.",fr
5146,171676P2,80HD Photos,"Private photo shoots in Paris
Get a professional photographer all for yourself and walk through the most romantic areas of the city during a private photo shoot. You are the star and Paris is the stage.",vi
5148,171778P2,Professional tour guide ,"Haunted Manhattan offers the most accurate—and FUN—ghost tours in the city! 

On our Greenwich Village tour, a secret underworld of ghosts and ghouls reveals itself as you’re guided through the streets by ""noted professor of anthropology & the supernatural,"" The Professor. 

The Professor will guide you to 13 haunted locations, from Washington Square Park, a former potter's field and now the beating heart of the Village that seems to host multiple famous spirits (including a ghost dog!), to the former home of Mark Twain that may also hold malevolent spirits, telling you tales of haunted dorm buildings, churches, fire houses, theaters, and more along the way...

A historical, hilarious, and completely hair-raising experience, Haunted Manhattan will show you the greatest city there is, like you’ve never seen it before. ",fr
5150,171778P4,An entertaining tour-guide!,"All Haunted Manhattan tours are led by entertaining, performative tour-guides knowledgeable of the histories and stories covered on our routes!",fr
5172,172138P3,Parking; Water,"Enjoy the mountain views, the cultural heritage on a tour of the Montserrat monastery on top of the mountain. This package is ideal for first-time visitors who want to experience all the highlights of Montserrat without the hassle of booking individual tickets or navigating public transportation. The logistics-covered tour gives visitors the opportunity to experience multiple highlights in one trip.",id
5179,172183P1,Helmet,"As a Parisian in love with my city, I am looking forward to showing you many secret places outside the crowded areas and as a fan of the new transport means, I will be offering you to do the tour with the best e-bike out there. 

Right from the start you will feel how magic is the experience of letting you go through the small streets of very authentic areas like the Marais or the Ile Saint Louis. I have been moving around Paris by bike for 10 years now so I know the safest roads through which you can discover special places. 

I will be happy to make a cool Video of you during the tour. Check my Instagram for see what kind of video @citylightriding. 

Don’t worry about the pace of the tour, Since I only do private groupe, you will decide how fast you want to go.
",fi
5187,172196P5,booklets-games,"This fun and cultural tour combines a city tour with a treasure hunt. For 2 hours, equipped with your game booklet, you will try to solve the mysteries by collecting clues. Each stop is punctuated with tourist explanations and anecdotes about the sites you will pass through, as well as a riddle to solve.
For this treasure hunt, here is your mission: find out who owns the safe we found in order to access the treasure. You will start in front of the Pantheon, then you will go down the Latin Quarter to the Cluny Museum. You will then go to Notre-Dame de Paris before solving the final enigma at the foot of the Louvre.
On arrival, you will have to decrypt the password which will allow you to access the treasure.
The tour is done independently but you can contact us at any time for help, if needed, we are never far away.
We're counting on you to unravel the mystery!",af
5224,172715P1,Tour guide,"Greenwich Village has long been one of New York’s signature neighborhoods, full of winding streets, gorgeous tree lined blocks, and an amazing array of characters who have called it home over the years. Starting in Washington Square Park and meandering through the West Village, this tour touches on the artistic, political and popular history of the area, including its famous role as the creative playground for many generations of bohemians.

We focus on telling great stories and making our tours like being shown around by an (exceptionally well-informed) friend. Educational and entertaining, this tour will show you why The Village is a place that has drawn people to it for generations.",fr
5342,174006P1,"Helmet, lifejacket, wakeboard, waterski, kneeboard ","Do you like big sensations, adrenaline and feel alive? The Olimpic Cable Park is the ideal place for lovers of riding sports or for those who want to try. Grab your palonnier and jump into the waters of the OCP to enjoy a Wakeboard circuit of more than 650m. With the Cable Ski, the new riders have the opportunity to practice an original activity, fun and refreshing in a safe way.

We propose a multitude of aquatic modalities from the Wakeboard (mix between Snowboard and Surf), Kneeboard to the classic Water Ski or the Donut for the little ones.

The passion and experience of our qualified instructors will make you an unforgettable experience.

Enjoy the Restaurant with its terraces at the edge of the water. The OCP also has for children a playground with trampoline, swings and slides.

A small paradise to spend an perfect day, experience sensations of riding comparable to other extreme sports and then relax enjoying a healthy meal or one of our best cocktails in our Restaurant.",af
5496,176410P1,Tour guide; Transport ,"We offer a unique approach to wine tasting that combines education, entertainment, and inspiration. Our team of experienced sommeliers is passionate about sharing their knowledge and expertise with our guests, helping them to discover new flavors, regions, and styles of wine. We pride ourselves on our diverse selection of wines, with a focus on small-batch and artisanal producers from around the world. Each wine in our collection has been carefully chosen for its quality, uniqueness, and ability to tell a story.",fr
5521,177373P9,Licensed guide,"Central Park is New York's backyard, with a lush 843-acre patch of nature, including a lake, in the middle of Manhattan. This is one of the city's biggest attractions and greatest assets, enjoyed by tourists and used by locals year-round. Countless scenes from movies and TV shows have been filmed here over the years and we will highlight some of the most memorable ones and the great spots in which they were filmed. 

The park is home to scenic hills, meadows, playgrounds, skating rinks, ball fields, and many well-known attractions, including Strawberry Fields, Belvedere Castle, and the Central Park Zoo. Be warned; Central Park is huuuge so our aim with this tour is to break it down in a manageable and comprehensive way that lets you experience the best parts without getting lost or overwhelmed.

 • The tour last for 2 hours. 
 • The walking distance is around 4 km. 
 • Bringing a camera is encouraged! 
 • Tours are always in English unless otherwise specified.",nl
5533,17805P11,Guide services,"This melting pot community of global proportions,  JACKSON HEIGHTS is the ultimate in cultural  diversity.  Originally developed as a suburban community with “hidden” gardens surrounded by apartment buildings, the area soon changed as it attracted immigrants from Asia and Latin America. 

 Begin your two-hour tour from Roosevelt Avenue and 74th Street, stopping along its main streets to sample four (4) tasty delights! Minimum 2 people.",es
5555,178394P7,A surprise gift; Hydro-alcoholic gel at your disposal,"You are invited to an experience in beauty, culture and nature, in the center of Paris! :)",it
5585,179163P2,Videos & music,"Barcelona is the European capital of Tango Argentino. If you want to learn a different way of communication, know a lifestyle and enjoy a lesson with Argentinian teachers, this is your chance! Besides, we’re in great rooftop in the heart of Gothic. The activity could be indoor or outdoor depending on the weather. 
You’re gonna have fun and learn the basics of Tango Argentino! Better than the movies ;)",es
5587,179163P4,Videos & music; Guide,"I'm a professional tango dancer from Argentina. I've been living, dancing and teaching in Barcelona for over 20 years.

I've been sharing my passion for 25 years, first in Buenos Aires and now in Barcelona. I also taught Tango in the United States and all around Europe. Now, I have my tango school in Barcelona and travel around the world sharing my dance. In addition to Tango, I'm also trained in ballet, modern dance, jazz (and martial arts!).

Dancing keeps us healthy and happy. I'd love to share the way I feel ‘tango’ with you and how it can change your days!",es
5589,179245P10,Lido de Paris Show ," Prepare to be dazzled and enchanted by the Lido Show, a cabaret performance that is celebrated and made famous across Paris by the iconic Blue Bell girls! ",pt
5594,179482P1,Camera,"You will discover the authentic Paris that seduced me and that you will not see in the guides!

I will accompany you to sharpen your look and develop your photo creativity.

You will leave with a postcard to send, that of your most beautiful picture and spend a friendly moment in a typical Parisian apartment!",pt
5596,179527P1,Photos,"Imagine how amazing it is to have your own photo shoot in the light city, set against the world's most famous landmarks?

This is a unique and very fun way to get to know Paris and break, take beautiful souvenir photos.

I am very adaptable and I am open to explore with you any place you wish to know. My photo shoots are always done with lightness and good humor.

My goal is to portray real people in a unique way in this amazing city of Paris, providing an experience that goes beyond just a rehearsal.

If you book a photo shoot with me, we will explore together the most photogenic corners of Paris and you will bring home quality photos with lots of style, personality and a hint of poetry.",vi
5645,179966P5,Experienced guide,"Discover the covered passages of the capital. From the Passage des Panoramas to the passage du Bourg l'Abbé, immerse yourself in a timeless journey with one of the tour guides from our agency. After two and a half hours spent in his company, Paris and its legendary passages will have no secrets for you! Our team of tour guides is both competent and passionate, which will make your experience unforgettable!",es
5662,180395P2,Tolls,"Expect a car service experience with dedicated professionals that are ready to help you pick the right vehicle, and assist you by choosing the quickest routes for transportation. The service utilizes expertise and experience to provide travelers a comfortable, efficient transfer.",sv
5669,180568P3,Gratuities," A real treat for foodies and wine buffs to enjoy Spanish tapas in this 3 hours tour in the Barcelona's Old Town and el Born Quarter.
Tapas is synonym of good wine and many yummy bites. It means as well family ran business sharing daily their family culinary secrets on their busy terraces. But tapas is as well sharing good moments with friends and enjoying the life. Just like this.
On our menu you will have the chance to enjoy the traditional Catalan tomato bread, Murcian cured tuna, Basque pintxo ""Gilda"", local paprika, artisan cheese, Atlantic Ocean anchovies and the sexy hand-cut Iberian ham.
Our 3 chosen wines, all of them Spanish or Catalan DO (Geographical Indicator Wine), are well paired with the food offered. 
On this tour we will cover the main ingredients, products and recipes of the Spanish cuisine.
Learn local anecdotes and interesting facts meanwhile enjoying the best food and wine on a warm and friendly atmosphere. 
Join us your first night in the city. You won't regret!",af
5686,180862P1,Horse carriage ride,This is a fun and professional ride with horse carriage in and around Central Park with professional drivers...,it
5688,180862P3,Horse Carriage Ride,"Troy Carriages has provided fun, enjoyable, and professional horse-drawn carriage rides and novelty sightseeing tours in Central Park NYC since the early 2000s. Our professional drivers will make photo stops in iconic locations, give informational tours, and tell you fun NYC facts.",nl
5706,181651P1,Tester bar,"Vapostore Meudon in a dynamic city
Meudon remains a city of importance these days. The Meudonais are young. More than half of the population is under 45 years old. This attractive city continues to develop and maintains its privileged link with the capital. Line N of the transilien and line C of the RER allows quick access to Paris. It is served by one of the main roads of Ile-de-France: the N118, which connects the bridge of Sèvres to the A10 and the A86. Moving to Meudon is very simple since 2 tram lines and RATP bus lines allow its inhabitants to go from one end of the city to the other. It is therefore natural that Vapostore decided to open an e-cigarette shop in Meudon.",no
5710,181765P1,Electric boat rental; Personal expenditure,"Discover Paris on the water without a sound! It's a unique way to enjoy the joys of the capital, with friends or family.",ca
5725,181888P5,Entrée au musée des Belles’ Arts ; La location du Vélo ,"Paris ville Musée, Paris ville Lumière! Paris la plus belle ville du monde...

Ainsi je vois cette ville! Ce qui rends cette activité unique et spéciale c'est qu'on sera 2 ou 3 la plus part des fois, ma façon de faire ce périple à vélo et la façon avec laquelle je transmets ma passion pour Paris qui dégage un intérêt particulier qui nous emmène au bout de l'histoire de France sur des endroits exclusifs de mon choix. 
Je prends en charge la location du vélo.
Pour cette raison j'ai décidée de vous la faire connaître comme je la connais et avec la même passion.
En tant que son ambassadrice, je vous la présenterai d'une façon unique qui est m'a propre façon et très unique.
Avec une personnalité vraie, souriante, accueillante, je suis quelqu'un de spéciale un peut artiste et très belle présentation. 
En plus de mes expériences, je serais votre mentor et conseillère amicale a Paris.
A bientôt pour une expérience ensemble! ;)

",fr
5726,181888P6,Normal Bike deposit,"A private bike across the wonders of Paris on sunset and night. We will appreciate the lightening places the more attractive on the night like the Eiffel Tour, Invalides and Alexandre III bridge, Champs elysées, Concorde Square, the Louvre and Notre Dame.
After the tour if you wish me we can take a French wine in a local bar from the historic center 
See you soon for a bike on Paris night ;)",no
5733,182019P5,Guide; Lunch; Gratuities," Stroll present-day Harlem learning about the Harlem Renaissance
 Learn about legendary Harlem Renaissance residents, such as Pig Foot Mary
 Enjoy a lunch at a local Harlem restaurant
 See the theaters, ballrooms, and churches that cultivated Harlem talent
 Discover why this period in American history was so important for African-American culture

",fr
5735,182077P225,Guide,"・Private car
・You will receive a confirmation email when booking
・Child seats are available on request. Please inform us at the time of booking.
・24-hour emergency response（English・Japanese・Chinese）

SEDAN : 3pax 2luggage
MPV : 4pax 4luggage
Mini Van : 5pax 6 luggage
VAN : 8pax 8luggage",es
5737,182077P47,Guide,"・Private car
・You will receive a confirmation email when booking
・Child seats are available on request. Please inform us at the time of booking.
・24-hour emergency response（English・Japanese・Chinese）

SEDAN : 3pax 2luggage
MPV : 4pax 4luggage
VAN : 8pax 8luggage",es
5738,182077P48,Guide,"・Private car
・You will receive a confirmation email when booking
・Child seats are available on request. Please inform us at the time of booking.
・24-hour emergency response（English・Japanese・Chinese）

SEDAN : 3pax 2luggage
MPV : 4pax 4luggage
VAN : 8pax 8luggage",es
5775,182805P4,Blanket; Gratuities," Take a lavish horse-drawn carriage ride through Central Park
 Enjoy the extraordinary views at Bethesda Fountain
 Have a romantic moment at the Bow Bridge
 See the John Lennon memorial and the Imagine mosaic after strolling through Strawberry Fields

",af
5804,183540P1,VR Equipment,"-Two full-motion car racing stimulators
-Four multi-directional treadmills, deliver 360-degree views
-Augmented reality interactive rock-climbing wall
-Xtrematic machines give access to 30 virtual reality games
-The VR horror walk-through's will get your heart pounding",ca
5806,183540P3,VR Equipment,"Our Escape Games provide the most unique experience! A fusion of Virtual Reality and Escape games. We have multiple Escape Games that customers can choose from, the most popular one being Goblins Quest!",ca
5807,183540P4,Games,"-Two full-motion car racing stimulators
-Four multi-directional treadmills, deliver 360-degree views
-Augmented reality interactive rock-climbing wall
-Xtrematic machines give access to 30 virtual reality games
-The VR horror walk-through's will get your heart pounding",ca
5844,183920P4,In-person guide,"Our Harlem & Gospel bus tour with a guide in Italian will guarantee you a memorable experience in the Harlem district, a reference point for African American culture! You can listen to exciting Gospel music during an authentic function in a Baptist Church in Harlem! The tour will then continue, accompanied by the expertise of our certified guides, with a visit to the main points of interest in the neighborhood, such as 125th Street and the Apollo Theater, City College of New York, Sylvan Terrace, Morris-Jumel Mansion, Columbia University. Stops and itinerary may vary based on traffic.
",it
5845,183920P5,Guide in Italian,"New York at night is an absolutely unforgettable sight and our Tour by Night with guide in Italian is ideal for making you enjoy the experience to the fullest! You will be accompanied on a relaxing walk in the elegant neighborhoods of Brooklyn Heights and Dumbo by our certified guides who will show you the best places from which to admire the wonderful illuminated Manhattan skyline. The tour will end with a spectacular walk on the Brooklyn Bridge, before being driven back to Midtown by bus.",it
5885,185066P1,Admission,This is a unique stand up comedy showcase in the heart of the Greenwich Village. Each show features 5 to 7 comedians from various background who have been on American television shows.,et
5886,185066P2,Admission,"Broadway Comedy Club presents a lineup full of our Top Headliners. These are the best comedians from New York City with special guests from all across the country. 

For a night of entertainment, it’s hard to beat a stand-up comedy show, especially if that show is Broadway Comedy Club’s All Star Stand-Up Comedy. A lineup of top New York headliners will take to the stage, delivering the hilarious riffs and one-liners that have landed them appearances on Saturday Night Live, The Daily Show, Last Comic Standing, Comedy Central, HBO, BET and more. Kick off your weekend or ditch those mid-week doldrums at this spot near Times Square.

There is a 2 Drink Minimum - Lineup Subject to Change - Alcohol NOT required

Proof of Vaccination Required to enter venue.
-------------------------------------------------------------

COVID-19 Mitigation Measures:

Temperature checks upon entering
All waitstaff will be in masks
All Customers should wear a mask when not seated
Sanitizing Stations available
",et
5888,185066P7,Admission,"Greenwich Village Comedy Club presents a lineup full of our Top Headliners. These are the best comedians from New York City with special guests from all across the country. 

For a night of entertainment, it’s hard to beat a stand-up comedy show, especially if that show is Broadway Comedy Club’s All Star Stand-Up Comedy. A lineup of top New York headliners will take to the stage, delivering the hilarious riffs and one-liners that have landed them appearances on Saturday Night Live, The Daily Show, Last Comic Standing, Comedy Central, HBO, BET and more. Kick off your weekend or ditch those mid-week doldrums at this spot near Times Square.

2 Drink Minimum - Lineup Subject to Change

",et
5900,18589P3,wine,"This flavourful and informative tour will give you a tasty introduction to the vibrant and colorful neighborhood of the Marais. You will visit artisanal food boutiques, a sumptuous bakery, and a local cafe to taste some French specialties. Along the way, you will step back in time, and walk along medieval streets, and see some of the most splendid mansions of the aristocrats of the 17th century.",pl
5912,186143P11,Access to Casa Batlló.; 45-minute augmented reality video guide available in 11 languages.,"* Duration 1 hour.
* Skip the ticket line.
* Printed or mobile voucher accepted.
* Instant confirmation.
* Audio guide/headphones (Spanish, Catalan, Chinese, English, French, German, Italian, Japanese, Korean, Portuguese, Russian)
* Wheelchair accessible.
* Visit Casa Batlló, one of Gaudí­'s most impressive works, with an insightful video guide to explain the distinctive features and elements.
* Take a peek at the Noble Floor, where the Battló family lived.
* Adapt the tour to your needs with a choice of 11 languages.",ca
5996,186841P1,Snacks,"Your three-hour tour will introduce you to the ways in which various cultures have embraced one of New York City's most beloved foods (pizza!) and found ways to make it their own! As we stroll through this thriving art and immigrant community, we will also uncover the secrets behind some of its most iconic streets and landmarks. Five pizza tastings, a sweet treat to end the tour, and an in-depth tour of the East Village are all included in the price. As with all of our tours, there is our Secret Dish, which will be revealed on your tour.
",pl
6000,187007P1,"Kayaks, Paddles, Life vests","The Outsiders is a New York-based social club whose mission is to bring people together and introduce the possibility of a deeper connection through outdoor experiences. The Outsiders are made up of music lovers, outdoor enthusiasts, thrill seekers, social butterflies, urban explorers, creatives, foodies -- in essence we are New Yorkers looking for our next adventure with like-minded people. ",et
6011,187046P1,Experienced guide ; Food & drinks,"HEY, DON'T BUY TICKETS FROM ME!
Sorry, this copy looks weird and unprofessional, but as a company I'm trying to get off TripAdvisor in favor of other ticketing agencies just because they're less of a headache for me. I'm honoring my final bookings which goes all the way to March then I'm closing this page, so this is up for now or until I figure out how to close my page while keeping the people I booked. If you're looking for a good company, I'd suggest using Custom Tours because that guy's really good and talented, or finding my company on AirBnB under the same name. ",nl
6025,187858P1,Driver/guide; Food & Drinks; Gratuities,"Combine a sightseeing tour by bus with a scenic cruise on the Staten Island Ferry during this full-day tour of New York City. Go to top attractions such as Greenwich Village, Central Park, Times Square, the Empire State Building, the Brooklyn Bridge, and hop off the bus with your guide for short walks around sites such as the Rockefeller Center. Hear live commentary about the city's history from your guide, and travel in comfort in a climate-controlled bus as you take in the best of the Big Apple.
",af
6048,188552P21,Gratuities,"Our Paris Latin Quarter Food Tour is the perfect way to explore the Fifth Arrondissement and the Quartier Latin. You will be guided by a ""Local Food Expert"", a ""buddy"" who will explain every detail of the selected restaurants and shops, the preparations of the food specialties, and any relevant history/curiosities. 

We will offer you a high-quality gourmet experience, wrapped in the delightful exploration of the neighborhood and the culture and lifestyles of the locals. And we are not talking of just a few small tastings: you will leave we full belly and full hearts!

This is the reason why we accept small groups only: we want to focus on a genuine exchange and give each tourist the highest attention possible. ",af
6101,19014P21,E-bike; Fun; Helmet,"Are you looking for an exciting and unique way to explore the beautiful city of Paris? Look no further than our small group electric bike tour, designed to take you on a thrilling journey through some of the most iconic and stunning landmarks in the city hassle-free!

Hop aboard your electric bike, and let our expert guide lead you on an unforgettable journey through the heart of Paris. We'll take you on a route that includes some of the most famous monuments in the city, including the breathtaking Invalides, the stunning Pont Alexander 3, and the magnificent Grand and Petit Palais.

As we pedal along, you'll have the chance to take in the stunning architecture and rich history of these incredible landmarks, and our knowledgeable guide will be on hand to share fascinating stories and insights about each one.
",da
6110,19014P35,Helmet; Professional Guide; Fun; Gratuities,"Are you looking for an exciting and unique way to explore the beautiful city of Paris? Look no further than this small group electric bike tour, designed to take you on a thrilling journey through some of the city's most iconic and stunning landmarks hassle-free.

Hop aboard your electric bike, and let our expert guide lead you on an unforgettable journey through the heart of Paris. You'll take a route that includes some of the most famous monuments in the city, including the Invalides, the stunning Pont Alexander 3, Grand, Petit Palais and way more!

As you pedal along, you'll have the chance to take in the stunning architecture and rich history of these incredible landmarks, and your knowledgeable guide will be on hand to share fascinating stories and insights about each one.",fr
6128,190411P1,Helmet for rider and horse equipment provided,"Practical and discovery of horse riding in a quiet and green setting, on the road to the hunting castle and its water feature",da
6139,19071P1,Live entertainment; Souvenir photos (available to purchase),"""Eureka!"" The History of Invention Show. Explore the industrial revolution and mechanical era, with interactive demonstrations of such items as the steam engine, Thomas Edison cylinder phonograph, windup toys, mechanical gear and household items. The Museum of Interesting Things is a traveling interactive demonstration/exhibition of antiques and inventions that goes to schools and events and inspires kids and adults to be curious and to tinker.",fr
6180,191535P1,A drink as a drink,"Paint a picture and discover the artist inside. Meet new people or yourself, in a pleasant and fun environment while painting a picture. Welcome to the world of art.",lt
